id,article_id,waste_category_id,content_category_id,created_at,updated_at,deleted_at
46,ART0023,9,5,2024-04-06 08:41:47.000,2024-06-15 13:03:36.637,
47,ART0023,9,4,2024-04-04 01:47:30.000,2024-06-15 13:03:36.640,
48,ART0024,7,4,2024-06-30 08:41:21.000,2024-06-15 13:03:36.644,
49,ART0024,4,3,2024-03-22 01:47:35.000,2024-06-15 13:03:36.649,
50,ART0025,5,4,2024-04-25 02:07:37.000,2024-06-15 13:03:36.653,
51,ART0025,5,4,2024-03-15 07:57:11.000,2024-06-15 13:03:36.656,
52,ART0026,9,2,2024-06-23 02:24:26.000,2024-06-15 13:03:36.661,
53,ART0027,3,4,2024-02-15 01:29:23.000,2024-06-15 13:03:36.666,
54,ART0027,5,5,2024-04-29 21:28:58.000,2024-06-15 13:03:36.669,
55,ART0027,4,1,2024-01-04 19:37:57.000,2024-06-15 13:03:36.676,
56,ART0028,11,5,2024-04-04 15:40:08.000,2024-06-15 13:03:36.679,
57,ART0028,10,5,2024-04-30 15:54:33.000,2024-06-15 13:03:36.683,
58,ART0029,12,5,2024-06-25 23:24:48.000,2024-06-15 13:03:36.687,
59,ART0030,1,3,2024-03-12 12:50:11.000,2024-06-15 13:03:36.693,
60,ART0030,5,2,2024-06-22 20:39:05.000,2024-06-15 13:03:36.697,
61,ART0031,9,5,2024-02-24 16:23:43.000,2024-06-15 13:03:36.701,
62,ART0032,1,1,2024-02-02 11:16:09.000,2024-06-15 13:03:36.706,
63,ART0032,10,1,2024-02-23 08:44:35.000,2024-06-15 13:03:36.710,
64,ART0033,1,4,2024-01-31 09:52:20.000,2024-06-15 13:03:36.714,
65,ART0033,11,2,2024-02-12 18:34:53.000,2024-06-15 13:03:36.718,
66,ART0033,9,4,2024-03-26 07:22:20.000,2024-06-15 13:03:36.722,
67,ART0034,12,5,2024-03-15 12:07:44.000,2024-06-15 13:03:36.726,
68,ART0034,1,4,2024-06-06 11:58:54.000,2024-06-15 13:03:36.730,
69,ART0034,7,4,2024-01-02 15:41:02.000,2024-06-15 13:03:36.734,
70,ART0035,11,5,2024-04-16 16:34:42.000,2024-06-15 13:03:36.738,
71,ART0035,9,2,2024-05-18 02:23:01.000,2024-06-15 13:03:36.742,
72,ART0036,7,4,2024-02-12 12:15:06.000,2024-06-15 13:03:36.746,
73,ART0036,1,4,2024-04-07 18:11:27.000,2024-06-15 13:03:36.751,
74,ART0036,11,3,2024-06-27 02:20:50.000,2024-06-15 13:03:36.755,
75,ART0037,13,3,2024-03-22 02:14:50.000,2024-06-15 13:03:36.759,
76,ART0037,2,1,2024-04-19 16:29:17.000,2024-06-15 13:03:36.764,
77,ART0037,10,2,2024-02-12 02:57:37.000,2024-06-15 13:03:36.768,
78,ART0038,11,1,2024-04-04 08:39:15.000,2024-06-15 13:03:36.773,
79,ART0038,11,2,2024-06-29 09:18:47.000,2024-06-15 13:03:36.777,
80,ART0038,4,4,2024-06-29 08:06:17.000,2024-06-15 13:03:36.781,
81,ART0039,4,5,2024-06-23 20:23:54.000,2024-06-15 13:03:36.786,
82,ART0040,10,4,2024-04-25 05:58:32.000,2024-06-15 13:03:36.791,
83,ART0040,8,4,2024-03-11 12:12:08.000,2024-06-15 13:03:36.795,
84,ART0040,6,2,2024-06-15 12:30:09.000,2024-06-15 13:03:36.799,
85,ART0041,5,3,2024-05-28 16:12:10.000,2024-06-15 13:03:36.803,
86,ART0041,7,1,2024-05-29 02:00:16.000,2024-06-15 13:03:36.807,
87,ART0042,6,5,2024-01-27 01:37:33.000,2024-06-15 13:03:36.810,
88,ART0042,10,5,2024-03-09 06:55:04.000,2024-06-15 13:03:36.815,
89,ART0043,4,1,2024-02-22 11:09:16.000,2024-06-15 13:03:36.819,
90,ART0044,1,3,2024-03-19 16:45:40.000,2024-06-15 13:03:36.823,
91,ART0045,4,2,2024-04-15 17:20:48.000,2024-06-15 13:03:36.827,
92,ART0045,12,5,2024-05-28 04:37:05.000,2024-06-15 13:03:36.831,
93,ART0046,6,2,2024-02-08 11:13:33.000,2024-06-15 13:03:36.836,
94,ART0047,12,2,2024-05-28 00:45:25.000,2024-06-15 13:03:36.840,
95,ART0047,12,2,2024-06-27 07:38:59.000,2024-06-15 13:03:36.843,
96,ART0048,10,1,2024-05-04 01:05:02.000,2024-06-15 13:03:36.848,
97,ART0049,11,4,2024-05-19 22:44:17.000,2024-06-15 13:03:36.852,2024-06-16 14:57:20.277
98,ART0050,9,3,2024-05-01 11:41:18.000,2024-06-15 13:03:36.856,2024-06-16 14:55:49.885
99,ART0065,1,0,2024-06-17 12:34:22.398,2024-06-17 12:34:22.398,2024-06-18 06:16:44.090
100,ART0065,0,1,2024-06-17 12:34:22.402,2024-06-17 12:34:22.402,2024-06-18 06:16:44.090
101,ART0066,1,0,2024-06-18 05:59:54.847,2024-06-18 05:59:54.847,2024-06-18 06:16:41.886
102,ART0066,0,2,2024-06-18 05:59:54.852,2024-06-18 05:59:54.852,2024-06-18 06:16:41.886
103,ART0068,2,0,2024-06-18 06:09:28.228,2024-06-18 06:09:28.228,2024-06-18 06:16:33.629
104,ART0068,0,2,2024-06-18 06:09:28.233,2024-06-18 06:09:28.233,2024-06-18 06:16:33.629
105,ART0069,2,0,2024-06-18 06:12:32.960,2024-06-18 06:12:32.960,2024-06-18 07:09:05.303
106,ART0069,0,2,2024-06-18 06:12:32.964,2024-06-18 06:12:32.964,2024-06-18 07:09:05.303
107,ART0070,2,0,2024-06-18 06:13:15.214,2024-06-18 06:13:15.214,2024-06-18 07:08:38.561
108,ART0070,0,2,2024-06-18 06:13:15.219,2024-06-18 06:13:15.219,2024-06-18 07:08:38.561
109,ART0071,2,0,2024-06-18 06:21:01.070,2024-06-18 06:21:01.070,2024-06-19 09:33:36.716
110,ART0071,0,2,2024-06-18 06:21:01.075,2024-06-18 06:21:01.075,2024-06-19 09:33:36.716
111,ART0072,2,0,2024-06-18 06:27:28.877,2024-06-18 06:27:28.877,
112,ART0072,0,2,2024-06-18 06:27:28.882,2024-06-18 06:27:28.882,
113,ART0073,2,0,2024-06-18 06:34:27.401,2024-06-18 06:34:27.401,2024-06-19 11:11:15.269
114,ART0073,0,2,2024-06-18 06:34:27.406,2024-06-18 06:34:27.406,2024-06-19 11:11:15.269
115,ART0074,2,0,2024-06-18 06:37:56.507,2024-06-18 06:37:56.507,2024-06-19 09:29:59.799
116,ART0074,0,2,2024-06-18 06:37:56.511,2024-06-18 06:37:56.511,2024-06-19 09:29:59.799
117,ART0075,7,0,2024-06-18 12:58:01.699,2024-06-18 12:58:01.699,
118,ART0075,0,2,2024-06-18 12:58:01.703,2024-06-18 12:58:01.703,
119,ART0076,2,0,2024-06-19 10:55:42.627,2024-06-19 10:55:42.627,2024-06-19 10:58:30.781
120,ART0076,1,0,2024-06-19 10:55:42.630,2024-06-19 10:55:42.630,2024-06-19 10:58:30.781
121,ART0076,0,2,2024-06-19 10:55:42.635,2024-06-19 10:55:42.635,2024-06-19 10:58:30.781
122,ART0077,1,0,2024-06-19 10:59:23.526,2024-06-19 10:59:23.526,2024-06-19 11:04:54.799
123,ART0077,0,2,2024-06-19 10:59:23.531,2024-06-19 10:59:23.531,2024-06-19 11:04:54.799
124,ART0078,1,0,2024-06-19 11:08:48.982,2024-06-19 11:08:48.982,
125,ART0078,0,5,2024-06-19 11:08:48.986,2024-06-19 11:08:48.986,
126,ART0078,0,4,2024-06-19 11:08:48.990,2024-06-19 11:08:48.990,
127,ART0078,0,2,2024-06-19 11:08:48.995,2024-06-19 11:08:48.995,
