id,category,question,answer,created_at,updated_at,deleted_at
FAQ12,misi,Bagaimana cara menyelesaikan misi dan mendapatkan poin?,"Untuk menyelesaikan misi, ikuti semua instruksi yang diberikan dan laporkan hasil kerja Anda melalui aplikasi. Poin akan diberikan berdasarkan kontribusi Anda.",2024-06-06 17:40:10.107,2024-06-06 17:40:10.107,
FAQ13,lokasi sampah,Bagaimana cara menemukan tempat sampah terdekat?,Anda dapat menemukan tempat sampah terdekat menggunakan fitur 'Cari Tempat Sampah' di aplikasi. Aplikasi akan menunjukkan lokasi tempat sampah di peta.,2024-06-06 17:40:10.112,2024-06-06 17:40:10.112,
FAQ14,lokasi sampah,Apa yang harus saya lakukan jika tidak menemukan tempat sampah di sekitar saya?,"Jika Anda tidak menemukan tempat sampah di sekitar Anda, simpan sampah Anda sampai Anda menemukan tempat yang sesuai untuk membuangnya atau laporkan kebutuhan tempat sampah baru melalui aplikasi.",2024-06-06 17:40:10.116,2024-06-06 17:40:10.116,
FAQ15,lokasi sampah,Apakah lokasi tempat sampah di aplikasi selalu diperbarui?,"Ya, kami berusaha untuk selalu memperbarui lokasi tempat sampah di aplikasi berdasarkan laporan pengguna dan data dari pihak berwenang setempat.",2024-06-06 17:40:10.120,2024-06-06 17:40:10.120,
FAQ16,poin dan level,Bagaimana cara mendapatkan poin?,"Anda bisa mendapatkan poin dengan menyelesaikan misi, melaporkan sampah, dan berpartisipasi dalam kegiatan kebersihan. Poin akan otomatis ditambahkan ke akun Anda.",2024-06-06 17:40:10.124,2024-06-06 17:40:10.124,
FAQ17,poin dan level,Apa yang bisa saya lakukan dengan poin yang saya kumpulkan?,"Poin yang Anda kumpulkan bisa ditukar dengan berbagai hadiah, diskon, atau digunakan untuk meningkatkan level akun Anda dalam aplikasi.",2024-06-06 17:40:10.128,2024-06-06 17:40:10.128,
FAQ18,poin dan level,Bagaimana cara meningkatkan level saya?,Tingkatkan level Anda dengan mengumpulkan poin dari berbagai aktivitas dalam aplikasi. Setiap level baru memberikan akses ke fitur dan penghargaan tambahan.,2024-06-06 17:40:10.133,2024-06-06 17:40:10.133,
FAQ19,artikel,Di mana saya bisa membaca artikel terkait daur ulang dan kebersihan?,Anda bisa membaca artikel terkait daur ulang dan kebersihan di bagian 'Artikel' dalam aplikasi. Kami menyediakan berbagai artikel informatif untuk membantu Anda lebih peduli terhadap lingkungan.,2024-06-06 17:40:10.136,2024-06-06 17:40:10.136,
FAQ20,artikel,Apakah artikel di aplikasi diperbarui secara berkala?,"Ya, artikel di aplikasi diperbarui secara berkala dengan konten terbaru mengenai daur ulang, tips kebersihan, dan informasi lingkungan lainnya.",2024-06-06 17:40:10.140,2024-06-06 17:40:10.140,
FAQ21,artikel,Bisakah saya berkontribusi menulis artikel untuk aplikasi?,"Tentu saja! Kami menerima kontribusi dari pengguna. Jika Anda tertarik, silakan hubungi kami melalui fitur 'Kontak Kami' di aplikasi untuk informasi lebih lanjut tentang cara berkontribusi.",2024-06-06 17:40:10.144,2024-06-06 17:40:10.144,
