id,users_id,task_users_challange_id,task_steps_id,task_challange_id,admins_id,count_challange
775,7228,3768,1110,2841,9515,76
4745,3490,8344,204,431,8778,76
4621,991,6964,8509,3440,7633,6
819,6405,8992,1975,5742,23,11
426,9366,1768,734,4835,5059,8
5670,3676,5872,1736,5514,2069,91
8864,5364,8917,9427,8428,7355,30
7805,7765,3226,6139,916,664,98
8933,9642,5951,1418,997,8924,39
8071,3437,9138,1871,6349,4250,79
8782,4804,36,342,1936,124,7
6907,8183,7329,7603,3179,3474,41
5963,6132,2270,8147,8062,4873,45
1826,5435,4036,3116,9488,7633,84
1380,6871,5820,1041,4779,1912,57
4527,3221,5615,3164,5506,4435,63
8928,7554,6293,9833,55,4985,62
2326,9846,6142,8402,3919,5237,84
5305,5758,3979,1446,6704,4325,37
4612,9860,1768,3164,5241,925,56
5754,6405,1919,1736,2140,650,18
3380,152,1893,9669,2538,8221,41
4574,696,2233,3343,241,8744,54
8123,9330,8041,1605,8383,3144,49
1750,3437,3925,842,2209,7272,7
9792,5380,690,5339,1078,4392,59
5957,4349,4671,1446,6186,2400,5
5284,4048,933,6675,4545,23,81
5072,1467,5951,7557,818,2506,13
3011,9010,5038,4194,9082,9060,21
7296,3676,4516,1418,9157,441,49
8185,6807,4450,7557,8031,8863,63
6256,5933,247,3321,6349,7617,84
667,696,7420,5992,3179,164,45
2814,8314,3768,8205,7364,7272,4
4962,9366,3054,9335,9603,8924,41
5919,3221,6328,9427,997,9060,48
5110,777,6900,2224,3140,8739,37
6688,1048,9270,8509,7802,471,9
3157,795,126,2699,7589,7449,49
9772,1652,4056,6675,8377,3474,8
9331,5435,9340,342,667,4325,3
4487,1048,6047,1585,9506,7461,76
1761,8703,6900,4903,6028,124,32
2329,9268,9110,7078,3994,7272,65
7050,8443,4569,204,5742,7902,51
7400,1116,9781,1736,2596,4609,41
126,7775,7727,5673,2841,650,45
9101,3893,7680,1398,596,2809,92
8187,2214,3925,264,997,2357,58
1408,7710,5417,8982,2075,920,82
9275,3752,9040,7557,4835,2763,45
1701,3766,1794,264,6072,2879,23
4101,2214,8344,3034,7279,314,18
2830,9260,8917,6347,9082,5436,65
4810,2423,4569,6361,1936,9515,30
717,5153,7420,8245,1936,7468,93
7610,4048,2233,4023,7794,5991,66
3204,443,8742,3199,8062,370,90
7052,3752,4109,9335,2596,644,89
1963,2943,5687,5657,400,3144,76
2988,4766,4416,3083,3148,7782,10
