id,status_progress,status_accept,point,reason,accepted_at,created_at,updated_at,deleted_at
UT0063,done,need_rivew,400,No reason provided,2024-06-22 07:25:19,2024-06-22 07:25:19.220,2024-06-22 07:25:42.635,
UT0064,done,need_rivew,400,No reason provided,2024-06-22 07:25:58,2024-06-22 07:25:57.747,2024-06-22 07:26:24.930,
UT0065,done,need_rivew,400,No reason provided,2024-06-22 07:27:50,2024-06-22 07:27:50.076,2024-06-22 07:28:09.139,
UT0066,done,need_rivew,100,No reason provided,2024-06-22 07:28:45,2024-06-22 07:28:44.915,2024-06-22 07:29:02.643,
UT0067,done,need_rivew,100,No reason provided,2024-06-22 07:48:33,2024-06-22 07:48:32.686,2024-06-22 07:48:54.605,
UT0068,done,need_rivew,400,No reason provided,2024-06-22 07:49:36,2024-06-22 07:49:36.294,2024-06-22 07:50:02.816,
UT0069,done,need_rivew,400,No reason provided,2024-06-22 07:53:34,2024-06-22 07:53:34.462,2024-06-22 07:53:56.936,
UT0070,done,need_rivew,400,No reason provided,2024-06-22 09:10:26,2024-06-22 09:10:26.155,2024-06-22 09:11:32.292,
UT0071,done,reject,1161,Maaf kamu belum menyelesaikan misi ini :(,2024-06-22 09:14:21,2024-06-22 09:14:20.984,2024-06-22 11:24:00.106,
UT0072,done,accept,1500,No reason provided,2024-06-22 11:23:14,2024-06-22 10:39:17.678,2024-06-22 11:23:13.566,
UT0073,in_progress,need_rivew,0,No reason provided,2024-06-22 12:44:57,2024-06-22 12:44:56.871,2024-06-22 12:44:56.871,
UT0074,done,accept,5,No reason provided,2024-06-22 13:41:45,2024-06-22 13:40:28.463,2024-06-22 13:41:44.508,
UT0075,done,need_rivew,5,No reason provided,2024-06-22 16:21:33,2024-06-22 16:21:33.103,2024-06-22 16:23:27.130,
UT0076,done,need_rivew,1500,No reason provided,2024-06-22 16:24:57,2024-06-22 16:24:57.190,2024-06-22 16:30:11.329,
UT0077,in_progress,need_rivew,0,No reason provided,2024-06-22 18:36:15,2024-06-22 18:36:14.641,2024-06-22 18:36:14.641,
UT0078,done,need_rivew,5,No reason provided,2024-06-22 19:05:14,2024-06-22 19:05:13.938,2024-06-22 19:06:23.991,
UT0079,done,need_rivew,1500,No reason provided,2024-06-22 19:07:32,2024-06-22 19:07:32.469,2024-06-22 19:08:06.743,
