id,users_id,task_users_challange_id,task_steps_id,task_challange_id,admins_id,count_challange
4089,5578,5319,2401,3537,7024,38
5840,4743,6605,1719,1002,4825,65
8972,7315,1286,5225,265,1434,25
703,8571,1093,1789,6879,553,99
815,2014,4818,2704,7271,1245,87
1774,5981,8686,7948,683,2002,80
1884,9106,244,1217,9743,9995,76
3164,2061,6605,4954,6829,820,43
1273,2218,5554,1457,7959,5935,24
5704,113,6867,3654,1412,8759,40
1640,7412,688,6683,6438,9883,88
9215,6308,6366,8397,3429,4751,95
2184,4361,5319,4660,9183,3988,91
447,7713,9907,4704,7279,3960,91
5212,6036,1944,665,2120,1719,71
4495,6308,7351,5889,6879,1134,31
5318,7713,5413,5225,9198,2488,35
2833,1067,7009,5230,2493,5133,48
8499,6691,3006,9297,7330,3467,61
2149,9342,7189,3391,6863,359,95
484,6122,8988,8206,5600,3341,72
7797,9366,9166,6704,9773,5837,72
3960,5342,5184,2045,9148,1219,8
7728,6122,9269,2245,1879,5342,46
3550,4361,244,2472,8567,2643,12
5178,2112,1944,4986,4055,8359,48
786,1342,1944,9507,8810,8242,20
5216,1261,2583,7761,6134,9584,74
9016,5855,1093,3519,8885,7245,85
9829,8692,3471,9967,6686,9959,84
3022,9106,2820,9505,5477,5096,48
5439,5654,6098,4199,9975,3168,8
735,6422,7009,4478,9442,4776,74
493,585,6061,5225,3047,3960,8
3778,5979,8966,499,8689,4326,62
5757,4382,1964,1933,8885,7869,51
3648,7315,8497,9967,4834,9330,75
4693,207,74,7628,7168,8759,5
7201,5013,6605,5247,1879,5649,45
7883,6006,5284,1360,9743,8804,82
915,3247,741,8432,14,2956,82
8249,3771,6867,92,7217,4776,74
1620,5239,8234,4524,6824,2528,99
5462,6314,6451,3157,9183,7608,15
1554,3247,2891,1497,8693,6950,97
5981,1417,3159,9724,9217,2643,69
2536,2090,8061,9507,8693,9184,48
4536,5239,5727,9544,9449,7245,89
236,2327,599,4691,5712,3177,41
3565,1922,8882,6778,7271,47,53
2916,6036,6115,3305,5746,8359,27
